"면부","남자","8. 장치, 기계조작 및 조립 종사자",77593,3470,5159,2653,10422,3302,10300,31792,2758,3620,4117
"면부","남자","9. 단순 노무 종사자",29901,1869,3083,1514,5664,1426,3132,7776,1643,1829,1965
"면부","남자","A. 기타",21138,1337,1396,1695,4137,739,3204,4481,152,1966,2031
"면부","여자","계",283361,53604,51105,16106,32898,12713,11831,16676,5908,61697,20823
"면부","여자","1. 관리자",2608,968,279,162,195,76,15,79,28,756,50
"면부","여자","2. 전문가 및 관련 종사자",92127,26499,15429,3889,4358,3864,2250,4153,1068,28019,2598
"면부","여자","3. 사무 종사자",65486,7217,10583,4558,13313,3796,3834,5118,1660,10800,4607
"면부","여자","4. 서비스 종사자",48321,7701,9638,2790,5668,1858,1720,2295,878,9355,6418
"면부","여자","5. 판매 종사자",25127,3367,5611,1489,3434,987,1418,1396,483,4171,2771
"면부","여자","6. 농림어업 숙련 종사자",17456,3234,3347,1218,1822,821,641,763,1083,3365,1162
"면부","여자","7. 기능원 및 관련 기능 종사자",6655,927,1624,302,797,271,350,651,146,853,734
"면부","여자","8. 장치, 기계조작 및 조립 종사자",10337,1347,1828,552,1319,458,850,1174,249,1605,955
"면부","여자","9. 단순 노무 종사자",13109,2171,2570,837,1582,500,592,811,284,2456,1306
"면부","여자","A. 기타",2135,173,196,309,410,82,161,236,29,317,222
"서울특별시","계","계",3339361,280029,657638,231545,656994,179204,296801,518227,31888,324459,162576
"서울특별시","계","1. 관리자",37958,4595,4108,2580,10697,2351,2092,8005,440,2132,958
"서울특별시","계","2. 전문가 및 관련 종사자",1204937,130512,238756,73407,147879,66841,126934,190656,8752,197531,23669
"서울특별시","계","3. 사무 종사자",1006747,64310,183806,88266,291557,57572,72215,135952,9110,59028,44931
"서울특별시","계","4. 서비스 종사자",322855,28076,76935,20640,55938,14296,20398,34891,3167,24219,44295
"서울특별시","계","5. 판매 종사자",373578,27019,88075,24998,78975,18340,30459,54291,4527,21117,25777
"서울특별시","계","6. 농림어업 숙련 종사자",3633,261,611,246,734,261,208,600,387,136,189
"서울특별시","계","7. 기능원 및 관련 기능 종사자",146451,7561,24264,6458,22863,6951,20033,41951,1683,5978,8709
"서울특별시","계","8. 장치, 기계조작 및 조립 종사자",97139,4991,12800,4812,19000,4917,11484,28478,1572,4153,4932
"서울특별시","계","9. 단순 노무 종사자",139468,12350,27782,9439,27804,7326,11955,22322,2215,9615,8660
"서울특별시","계","A. 기타",6595,354,501,699,1547,349,1023,1081,35,550,456
"서울특별시","남자","계",1833498,81709,240848,114233,435841,99578,227987,434158,21856,104313,72975
"서울특별시","남자","1. 관리자",29835,1873,2641,1916,9678,1956,1896,7694,397,1099,685
"서울특별시","남자","2. 전문가 및 관련 종사자",639981,31786,88957,36228,104068,36940,101393,159990,5881,63622,11116
"서울특별시","남자","3. 사무 종사자",510983,18876,57770,39281,175069,28812,47722,106453,5856,15461,15683
"서울특별시","남자","4. 서비스 종사자",144776,6925,22487,9019,33394,6462,13665,25923,1504,6371,19026
"서울특별시","남자","5. 판매 종사자",209491,8948,32059,12607,54901,10743,23083,45853,3247,6924,11126
"서울특별시","남자","6. 농림어업 숙련 종사자",2514,98,306,165,594,172,184,541,280,60,114
"서울특별시","남자","7. 기능원 및 관련 기능 종사자",117279,4612,14226,4608,19278,5314,18743,39691,1449,3507,5851
"서울특별시","남자","8. 장치, 기계조작 및 조립 종사자",86684,3700,9854,4236,17394,4320,10800,27654,1510,3049,4167
"서울특별시","남자","9. 단순 노무 종사자",85924,4560,12118,5541,20049,4549,9577,19311,1697,3737,4785
"서울특별시","남자","A. 기타",6031,331,430,632,1416,310,924,1048,35,483,422
"서울특별시","여자","계",1505863,198320,416790,117312,221153,79626,68814,84069,10032,220146,89601
"서울특별시","여자","1. 관리자",8123,2722,1467,664,1019,395,196,311,43,1033,273
"서울특별시","여자","2. 전문가 및 관련 종사자",564956,98726,149799,37179,43811,29901,25541,30666,2871,133909,12553
"서울특별시","여자","3. 사무 종사자",495764,45434,126036,48985,116488,28760,24493,29499,3254,43567,29248
"서울특별시","여자","4. 서비스 종사자",178079,21151,54448,11621,22544,7834,6733,8968,1663,17848,25269
"서울특별시","여자","5. 판매 종사자",164087,18071,56016,12391,24074,7597,7376,8438,1280,14193,14651
"서울특별시","여자","6. 농림어업 숙련 종사자",1119,163,305,81,140,89,24,59,107,76,75
"서울특별시","여자","7. 기능원 및 관련 기능 종사자",29172,2949,10038,1850,3585,1637,1290,2260,234,2471,2858
"서울특별시","여자","8. 장치, 기계조작 및 조립 종사자",10455,1291,2946,576,1606,597,684,824,62,1104,765
"서울특별시","여자","9. 단순 노무 종사자",53544,7790,15664,3898,7755,2777,2378,3011,518,5878,3875
"서울특별시","여자","A. 기타",564,23,71,67,131,39,99,33,-,67,34
"부산광역시","계","계",913405,86887,129196,42688,165438,46756,65875,194171,10493,114352,57549
"부산광역시","계","1. 관리자",10861,1920,912,489,2749,552,499,2585,125,779,251
"부산광역시","계","2. 전문가 및 관련 종사자",272674,43812,36727,10021,26059,14117,13894,48888,2370,69031,7755
"부산광역시","계","3. 사무 종사자",231322,14223,31873,13774,63499,13278,15633,46293,2681,17760,12308
"부산광역시","계","4. 서비스 종사자",103852,8623,19071,5199,18854,4646,5988,14553,1128,9772,16018
"부산광역시","계","5. 판매 종사자",110916,8389,20781,6179,23721,5463,7757,20085,1482,7580,9479
"부산광역시","계","6. 농림어업 숙련 종사자",2113,130,253,147,273,167,126,506,317,113,81
"부산광역시","계","7. 기능원 및 관련 기능 종사자",65767,2690,6836,1950,9334,2871,9310,25425,725,2652,3974
"부산광역시","계","8. 장치, 기계조작 및 조립 종사자",67454,3283,6132,2330,11276,3200,8027,25359,855,3026,3966
"부산광역시","계","9. 단순 노무 종사자",46218,3730,6467,2428,9230,2342,4282,9948,810,3471,3510
"부산광역시","계","A. 기타",2228,87,144,171,443,120,359,529,-,168,207
"부산광역시","남자","계",524436,26095,49389,21996,110269,26093,51954,170437,7684,34797,25722
"부산광역시","남자","1. 관리자",8251,764,600,358,2435,455,453,2466,109,439,172
"부산광역시","남자","2. 전문가 및 관련 종사자",131743,10811,13008,4640,17783,7160,10928,42256,1624,20249,3284
"부산광역시","남자","3. 사무 종사자",123836,4292,10197,6329,37527,6563,10150,38056,1836,4449,4437
"부산광역시","남자","4. 서비스 종사자",48496,1939,5839,2370,11309,2234,4199,11427,684,2291,6204
"부산광역시","남자","5. 판매 종사자",60286,2471,6991,3099,15525,2968,5613,16949,1108,2267,3295
"부산광역시","남자","6. 농림어업 숙련 종사자",1631,80,149,112,215,124,108,482,279,36,46
"부산광역시","남자","7. 기능원 및 관련 기능 종사자",56903,1769,4558,1528,8035,2312,8885,24616,634,1733,2833
"부산광역시","남자","8. 장치, 기계조작 및 조립 종사자",60524,2431,4803,2005,10136,2836,7713,24639,746,1954,3261
"부산광역시","남자","9. 단순 노무 종사자",30710,1455,3123,1389,6883,1342,3556,9056,664,1230,2012
"부산광역시","남자","A. 기타",2056,83,121,166,421,99,349,490,-,149,178
"부산광역시","여자","계",388969,60792,79807,20692,55169,20663,13921,23734,2809,79555,31827
"부산광역시","여자","1. 관리자",2610,1156,312,131,314,97,46,119,16,340,79
"부산광역시","여자","2. 전문가 및 관련 종사자",140931,33001,23719,5381,8276,6957,2966,6632,746,48782,4471
"부산광역시","여자","3. 사무 종사자",107486,9931,21676,7445,25972,6715,5483,8237,845,13311,7871
"부산광역시","여자","4. 서비스 종사자",55356,6684,13232,2829,7545,2412,1789,3126,444,7481,9814
"부산광역시","여자","5. 판매 종사자",50630,5918,13790,3080,8196,2495,2144,3136,374,5313,6184
"부산광역시","여자","6. 농림어업 숙련 종사자",482,50,104,35,58,43,18,24,38,77,35
"부산광역시","여자","7. 기능원 및 관련 기능 종사자",8864,921,2278,422,1299,559,425,809,91,919,1141
"부산광역시","여자","8. 장치, 기계조작 및 조립 종사자",6930,852,1329,325,1140,364,314,720,109,1072,705
"부산광역시","여자","9. 단순 노무 종사자",15508,2275,3344,1039,2347,1000,726,892,146,2241,1498
"부산광역시","여자","A. 기타",172,4,23,5,22,21,10,39,-,19,29
"대구광역시","계","계",680053,70891,85934,33604,113958,35525,50995,142072,10537,94994,41543
"대구광역시","계","1. 관리자",9494,1533,792,495,2036,405,335,2837,168,651,242
"대구광역시","계","2. 전문가 및 관련 종사자",201162,37721,26116,7626,17032,11134,10634,31663,2118,51450,5668
"대구광역시","계","3. 사무 종사자",161009,10283,18731,10401,41823,9391,11741,32747,2753,15146,7993
"대구광역시","계","4. 서비스 종사자",72011,6927,11538,3853,12964,3435,3943,9745,1080,8945,9581
"대구광역시","계","5. 판매 종사자",81099,5652,13261,4398,15951,4225,6280,14534,1647,7659,7492
"대구광역시","계","6. 농림어업 숙련 종사자",3283,216,373,188,553,217,219,734,368,160,255
"대구광역시","계","7. 기능원 및 관련 기능 종사자",50331,2193,4925,1952,6608,1891,7027,18796,699,2839,3401
"대구광역시","계","8. 장치, 기계조작 및 조립 종사자",62734,3104,5207,2586,9837,2849,7334,22868,956,4239,3754
"대구광역시","계","9. 단순 노무 종사자",35281,3007,4744,1836,6374,1858,2892,7396,734,3640,2800
"대구광역시","계","A. 기타",3649,255,247,269,780,120,590,752,14,265,357
"대구광역시","남자","계",400373,22611,33774,17545,78847,20513,40606,126375,7076,32490,20536
"대구광역시","남자","1. 관리자",7303,646,467,358,1794,337,303,2710,141,346,201
"대구광역시","남자","2. 전문가 및 관련 종사자",96350,10263,9268,3290,11756,5612,8330,27400,1337,16402,2692
"대구광역시","남자","3. 사무 종사자",89307,3417,6368,4920,25532,4816,7710,27591,1645,4357,2951
"대구광역시","남자","4. 서비스 종사자",32631,1642,3148,1540,8067,1624,2719,7553,535,2133,3670
"대구광역시","남자","5. 판매 종사자",46346,1649,4556,2245,11046,2607,4721,12656,1112,2574,3180
"대구광역시","남자","6. 농림어업 숙련 종사자",2719,119,251,172,471,172,219,709,328,81,197
"대구광역시","남자","7. 기능원 및 관련 기능 종사자",43270,1338,3250,1495,5753,1544,6751,18053,606,1887,2593
"대구광역시","남자","8. 장치, 기계조작 및 조립 종사자",54740,2018,3741,2105,8713,2466,6831,22183,839,2857,2987
"대구광역시","남자","9. 단순 노무 종사자",24287,1304,2528,1169,4984,1224,2435,6784,519,1616,1724
"대구광역시","남자","A. 기타",3420,215,197,251,731,111,587,736,14,237,341
"대구광역시","여자","계",279680,48280,52160,16059,35111,15012,10389,15697,3461,62504,21007
"대구광역시","여자","1. 관리자",2191,887,325,137,242,68,32,127,27,305,41
"대구광역시","여자","2. 전문가 및 관련 종사자",104812,27458,16848,4336,5276,5522,2304,4263,781,35048,2976
"대구광역시","여자","3. 사무 종사자",71702,6866,12363,5481,16291,4575,4031,5156,1108,10789,5042
"대구광역시","여자","4. 서비스 종사자",39380,5285,8390,2313,4897,1811,1224,2192,545,6812,5911
"대구광역시","여자","5. 판매 종사자",34753,4003,8705,2153,4905,1618,1559,1878,535,5085,4312
"대구광역시","여자","6. 농림어업 숙련 종사자",564,97,122,16,82,45,-,25,40,79,58
"대구광역시","여자","7. 기능원 및 관련 기능 종사자",7061,855,1675,457,855,347,276,743,93,952,808
"대구광역시","여자","8. 장치, 기계조작 및 조립 종사자",7994,1086,1466,481,1124,383,503,685,117,1382,767
"대구광역시","여자","9. 단순 노무 종사자",10994,1703,2216,667,1390,634,457,612,215,2024,1076
"대구광역시","여자","A. 기타",229,40,50,18,49,9,3,16,-,28,16
"인천광역시","계","계",776061,78487,116218,35437,120943,38063,80519,171785,7689,77609,49311
"인천광역시","계","1. 관리자",10081,1508,1000,496,1774,473,703,2909,113,771,334
"인천광역시","계","2. 전문가 및 관련 종사자",226270,36645,34768,8487,19265,12075,20990,44235,1624,41427,6754
"인천광역시","계","3. 사무 종사자",198915,13574,28353,11251,47054,10351,19419,41340,1805,13839,11929
"인천광역시","계","4. 서비스 종사자",80616,8264,14918,4089,13281,3229,6280,10602,728,7246,11979
"인천광역시","계","5. 판매 종사자",85379,6928,16233,4398,15142,4060,8794,15662,1078,5609,7475
"인천광역시","계","6. 농림어업 숙련 종사자",2231,168,260,95,314,173,198,498,237,163,125
